"capture_time","content_languages","count"
"2019-11-12 12:00:00.000","hun","26765"
"2019-11-12 12:00:00.000","dan","18923"
"2019-11-12 12:00:00.000","ara","18978"
"2019-11-12 12:00:00.000","fas","25349"
"2019-11-12 12:00:00.000","ron","22303"
"2019-11-12 13:00:00.000","ara","33720"
"2019-11-12 13:00:00.000","fin","35230"
"2019-11-12 13:00:00.000","ron","36542"
"2019-11-12 13:00:00.000","dan","31606"
"2019-11-12 13:00:00.000","hun","49673"
"2019-11-12 13:00:00.000","ell","21254"
"2019-11-12 13:00:00.000","fas","44009"
"2019-11-12 14:00:00.000","fin","27601"
"2019-11-12 14:00:00.000","ron","31708"
"2019-11-12 14:00:00.000","ell","16659"
"2019-11-12 14:00:00.000","hun","39862"
"2019-11-12 14:00:00.000","fas","36496"
"2019-11-12 14:00:00.000","ara","26448"
"2019-11-12 14:00:00.000","dan","26821"
"2019-11-12 15:00:00.000","ara","24011"
"2019-11-12 15:00:00.000","ell","15837"
"2019-11-12 15:00:00.000","ron","26358"
"2019-11-12 15:00:00.000","hun","35175"
"2019-11-12 15:00:00.000","fin","24603"
"2019-11-12 15:00:00.000","dan","22688"
"2019-11-12 15:00:00.000","fas","32157"
"2019-11-12 16:00:00.000","ell","21484"
"2019-11-12 16:00:00.000","ara","32789"
"2019-11-12 16:00:00.000","hun","46287"
"2019-11-12 16:00:00.000","fin","33572"
"2019-11-12 16:00:00.000","dan","30609"
"2019-11-12 16:00:00.000","fas","44433"
"2019-11-12 16:00:00.000","ron","33406"
"2019-11-12 17:00:00.000","ron","21139"
"2019-11-12 17:00:00.000","fas","24425"
"2019-11-12 17:00:00.000","ell","11912"
"2019-11-12 17:00:00.000","dan","17274"
"2019-11-12 17:00:00.000","fin","18214"
"2019-11-12 17:00:00.000","ara","18830"
"2019-11-12 17:00:00.000","hun","25900"
"2019-11-12 18:00:00.000","ell","22639"
"2019-11-12 18:00:00.000","fas","44686"
"2019-11-12 18:00:00.000","fin","35376"
"2019-11-12 18:00:00.000","dan","34085"
"2019-11-12 18:00:00.000","ara","35499"
