"n_pages","perc_pages","avg_warc_record_length","sum_warc_record_length","perc_warc_storage","content_mime_detected","perc_truncated","reasons_truncation"
"4","1.5440467278289028E-7","268068.5","1072274","1.8838840592731895E-6","audio/x-sndh","25.0","{length=1}"
"4","1.5440467278289028E-7","12273.0","49092","8.625000348589952E-8","application/vnd.vsf","0.0",
"4","1.5440467278289028E-7","8396.5","33586","5.90074272198611E-8","application/x-sas-xport","0.0",
"4","1.5440467278289028E-7","35237.25","140949","2.476340695293337E-7","image/nitf","0.0",
"4","1.5440467278289028E-7","530.25","2121","3.726396508465593E-9","application/x-httpd-ea-php56","0.0",
"4","1.5440467278289028E-7","1314.25","5257","9.236052072137492E-9","application/onenote; format=onetoc2","0.0",
"4","1.5440467278289028E-7","2801.25","11205","1.968612582619376E-8","text/x-nfo","0.0",
"4","1.5440467278289028E-7","1007815.75","4031263","7.0825480282444746E-6","application/vnd.mobius.daf","100.0","{length=4}"
"4","1.5440467278289028E-7","6394.75","25579","4.493988509667204E-8","application/iso19115+xml","0.0",
"4","1.5440467278289028E-7","602.0","2408","4.230628379248066E-9","httpd/unix-directory","0.0",
"4","1.5440467278289028E-7","10553.0","42212","7.416249383090504E-8","application/oct-stream","0.0",
"4","1.5440467278289028E-7","536.75","2147","3.772076050766444E-9","application/x-fcs","0.0",
"4","1.5440467278289028E-7","6710.0","26840","4.7155342898263324E-8","application/vnd.wordperfect; version=5.0","0.0",
"4","1.5440467278289028E-7","74643.0","298572","5.245627809172979E-7","'.application/octet-stream.'","0.0",
"4","1.5440467278289028E-7","585.25","2341","4.1129157125497185E-9","application/x-httpd-php-source","0.0",
"4","1.5440467278289028E-7","291883.0","1167532","2.0512433608306696E-6","application/x-t3vm-image","50.0","{length=2}"
"4","1.5440467278289028E-7","1049362.0","4197448","7.374519364293204E-6","application/x-silverlight-app","100.0","{length=4}"
"4","1.5440467278289028E-7","17918.75","71675","1.25926199785135E-7","application/cas","0.0",
"4","1.5440467278289028E-7","11084.0","44336","7.789416105578997E-8","x-type/subtype","0.0",
"4","1.5440467278289028E-7","73748.0","294992","5.182730593235654E-7","application/x-protobuf","25.0","{length=1}"
"4","1.5440467278289028E-7","448497.5","1793990","3.151870849704002E-6","application/x-wherigo","25.0","{length=1}"
"4","1.5440467278289028E-7","607651.75","2430607","4.270346741278656E-6","application/x-ms-reader","0.0",
"3","1.158035045871677E-7","752.6666666666666","2258","3.967092558281616E-9","video/x-ms-wvx","0.0",
"3","1.158035045871677E-7","130867.66666666667","392603","6.897663594592726E-7","application/x-libronix-update","0.0",
"3","1.158035045871677E-7","9005.333333333334","27016","4.746455826153062E-8","chemical/x-vmd","0.0",
"3","1.158035045871677E-7","72393.0","217179","3.815629737444832E-7","application/knxprod+zip","0.0",
"3","1.158035045871677E-7","995401.0","2986203","5.246476394516491E-6","application/vnd.dpgraph","100.0","{length=3}"
"3","1.158035045871677E-7","933.0","2799","4.917578419233943E-9","text/decklist","0.0",
"3","1.158035045871677E-7","34347.0","103041","1.8103329685469266E-7","image/x-raw-epson","0.0",
"3","1.158035045871677E-7","208909.66666666666","626729","1.1011036102565452E-6","audio/x-mp3","33.333333333333336","{length=1}"
"3","1.158035045871677E-7","1017035.3333333334","3051106","5.360504830437728E-6","video/theora","100.0","{length=3}"
"3","1.158035045871677E-7","1165.6666666666667","3497","6.143898439464487E-9","text/x-typescript","0.0",
"3","1.158035045871677E-7","2934.3333333333335","8803","1.5466038879784353E-8","application/x-python-code","0.0",
"3","1.158035045871677E-7","658.3333333333334","1975","3.4698883093915822E-9","application/vnd.geo+json","0.0",
"3","1.158035045871677E-7","387028.0","1161084","2.0399148343400587E-6","application/vnd.fdsn.mseed","33.333333333333336","{length=1}"
"3","1.158035045871677E-7","47833.0","143499","2.5211417848576335E-7","application/docx","0.0",
"3","1.158035045871677E-7","1186.0","3558","6.251069673324176E-9","application/mathml-presentation+xml","0.0",
