"count_trunc","count_total","perc_trunc","storage_trunc_gib","content_mime_detected","url_host_registered_domain"
"15743","15745","99.987","1.76","text/html","vinted.fr"
"13678","711452","1.923","1.76","text/html","rakuten.co.jp"
"11782","20965","56.198","1.71","text/html","rover.com"
"12688","22964","55.252","1.71","text/html","ebay.com.au"
"14111","14260","98.955","1.70","text/html","sonyliv.com"
"11603","12675","91.542","1.70","text/html","tinder.com"
"10313","88013","11.718","1.70","text/html","romwe.com"
"23807","50076","47.542","1.70","text/html","audible.com"
"14821","15139","97.899","1.69","text/html","coinidol.com"
"17057","24034","70.970","1.69","text/html","fcbarcelona.com"
"14201","118829","11.951","1.68","text/html","hp.com"
"17559","21908","80.149","1.68","text/html","musement.com"
"14852","252562","5.881","1.66","text/html","lefigaro.fr"
"12043","12723","94.655","1.65","text/html","telix.pl"
"10173","65939","15.428","1.65","text/html","mercadolivre.com.br"
"16380","39629","41.333","1.64","text/html","blizzard.com"
"12165","14768","82.374","1.62","text/html","dunkindonuts.com"
"12598","35571","35.416","1.61","text/html","dhl.com"
"13975","241762","5.780","1.61","text/html","adobe.com"
"12315","24090","51.121","1.61","text/html","cvs.com"
"19273","20423","94.369","1.59","text/html","officedepot.com"
"13883","16159","85.915","1.56","text/html","calzedonia.com"
"10213","12922","79.036","1.54","text/html","14khorshid.ir"
"12564","16531","76.003","1.54","text/html","satofull.jp"
"10586","13294","79.630","1.53","text/html","myclothing.com"
"13576","406328","3.341","1.52","text/html","apple.com"
"10709","12296","87.093","1.50","text/html","henryharvin.com"
"13386","13501","99.148","1.48","text/html","casetify.com"
"10108","36149","27.962","1.48","text/html","wanderlog.com"
"12057","15302","78.794","1.46","text/html","boersen-zeitung.de"
"16645","58827","28.295","1.45","text/html","rozetka.com.ua"
"12967","490668","2.643","1.43","text/html","myshopify.com"
"13366","13451","99.368","1.40","text/html","noon.com"
"17539","360402","4.867","1.40","text/html","163.com"
"10598","16892","62.740","1.36","text/html","cars.com"
"12929","12931","99.985","1.34","text/html","dailynews.co.th"
"11605","93975","12.349","1.33","text/html","airbnb.com"
"13434","14560","92.266","1.32","text/html","4for4.com"
"10104","44473","22.719","1.31","text/html","ni.com"
"14602","14683","99.448","1.31","text/html","bershka.com"
"10344","14169","73.004","1.31","text/html","cincinnati.com"
"16636","16639","99.982","1.27","text/html","befonts.com"
"10454","108282","9.654","1.27","text/html","wix.com"
"18018","102324","17.609","1.26","text/html","wn.com"
"14792","56256","26.294","1.24","text/html","aarp.org"
"17398","17826","97.599","1.22","text/html","wicz.com"
"11646","25133","46.337","1.20","text/html","aon.com"
"12868","12868","100.000","1.18","text/html","live4fun.ru"
"10715","10962","97.747","1.17","text/html","comdirect.de"
"12410","87360","14.206","1.16","text/html","boohoo.com"
"15746","15816","99.557","1.15","application/xhtml+xml","halfords.com"
"11388","12411","91.757","1.14","text/html","houzz.com.au"
"11076","22840","48.494","1.13","text/html","1stdibs.com"
"11487","20958","54.810","1.13","text/html","gamestop.com"
"14848","15029","98.796","1.12","text/html","220.lv"
"10896","14785","73.696","1.11","text/html","telemundodenver.com"
"20858","1268936","1.644","1.11","text/html","googlesource.com"
"10822","84162","12.859","1.10","text/html","lastminute.com"
"17739","403116","4.400","1.09","text/html","teachable.com"
"12274","12285","99.910","1.09","text/html","tirabeauty.com"
"18073","19412","93.102","1.09","text/html","mauritshuis.nl"
"18352","18987","96.656","1.07","text/html","ford.co.uk"
"11348","12508","90.726","1.06","text/html","houzz.in"
"10332","13966","73.980","1.05","text/html","telemundo20.com"
"11620","20863","55.697","1.01","text/html","quizizz.com"
"10858","14322","75.813","0.96","text/html","allo.ua"
"13210","14797","89.275","0.93","text/html","expertise.com"
"13748","13748","100.000","0.92","text/html","hites.com"
"21489","165747","12.965","0.91","text/html","google.cn"
"14807","17076","86.712","0.90","text/html","foodingredientsfirst.com"
"13055","85221","15.319","0.82","text/html","diesel.com"
"10707","11753","91.100","0.81","text/html","allhdd.com"
"17960","1010924","1.777","0.80","text/html","appspot.com"
"12309","18145","67.837","0.75","text/html","etam.com"
"10965","29652","36.979","0.69","text/html","zapier.com"
"11173","15026","74.358","0.68","text/html","leica-camera.com"
"12446","65837","18.904","0.64","text/html","newschannelnebraska.com"
"12792","12792","100.000","0.63","text/html","carrefoursa.com"
"11908","186888","6.372","0.60","text/html","as.com"
"12500","97011","12.885","0.54","text/html","android.com"
"11517","40545","28.405","0.48","text/html","tensorflow.org"
"11678","35573","32.828","0.48","text/html","jreast.co.jp"
