"n_pages","perc_pages","avg_warc_record_length","sum_warc_record_length","max_warc_record_length","percentiles_warc_record_length","perc_warc_storage","perc_truncated","sum_warc_record_length_truncated","perc_warc_storage_truncated","sum_warc_record_length_truncated_length","perc_warc_storage_truncated_length","content_mime_detected","reason_truncated","common_url_path_suffixes","uniq_tlds","uniq_domains","uniq_hosts","top_tlds","top_domains"
"2464098263","89.90294520180093","32876.998328959904","81012154475044","5245471","[992, 1713, 3753, 5932, 7599, 10880, 19359, 37199, 51529, 66763, 103836, 179737, 226045, 269022]","78.18805234664534","0.09018520216374991","679156990006","0.6554814228837403","642373778435","0.6199804824331683","text/html","{length=940023, disconnect=1281807, time=422}","[{.html, 244664183}, {.php, 87607624}, {.htm, 20301819}, {.aspx, 10143870}, {.asp, 8120299}, {.shtml, 3983949}, {.cgi, 2716860}, {.jsp, 2093487}, {.pl, 2005509}, {.cfm, 1952535}, {.do, 1950464}, {.phtml, 1028103}, {.pdf, 490291}, {.action, 318637}, {.cms, 296595}, {.article, 250801}, {.1, 238002}, {.ksp, 232318}, {.0, 185955}, {.xhtml, 171674}, {.xml, 168897}, {.c, 148135}, {.h, 143761}, {.shtm, 130420}, {.php3, 123966}]","1231","35681396","43828673","[{com, 1086022936}, {org, 131255191}, {ru, 97748292}, {de, 92828772}, {net, 79064985}, {uk, 54209536}, {jp, 50583729}, {it, 44685993}, {fr, 39907386}, {br, 39501847}, {pl, 38935809}, {nl, 37797587}, {au, 30361770}, {edu, 27709706}, {cz, 24461068}, {ca, 22815485}, {es, 21101875}, {cn, 20678278}, {ua, 16862693}, {eu, 16226701}, {in, 16196947}, {ro, 16127598}, {se, 14935171}, {ch, 14657667}, {info, 14080704}]","{oclc.org=1539626, app.link=1803200, fandom.com=1260195, wordpress.org=1872275, rakuten.co.jp=933291, nii.ac.jp=869591, appspot.com=1138181, ox.ac.uk=1265010, pixnet.net=1460372, qq.com=946101, myshopify.com=1073746, blogspot.com=10481673, photoshelter.com=1413764, wiktionary.org=2153399, amazonaws.com=1199320, pinterest.com=2968246, iso.org=1210050, wikipedia.org=5273004, weebly.com=915007, medium.com=1702987, europa.eu=1039531, herokuapp.com=895854, freepik.com=1068227, googlesource.com=989016, microsoft.com=847733}"
"241222218","8.801023957505576","19805.05734030271","4777419859245","5242981","[1725, 2298, 3312, 4337, 5140, 6773, 11012, 20052, 29207, 41108, 63455, 98374, 135498, 176641]","4.610877916493631","0.08201193142167361","51169950397","0.04938615428933398","49212353525","0.047496799689479265","application/xhtml+xml","{length=53680, disconnect=144069, time=82}","[{.html, 65322120}, {.php, 31825694}, {.aspx, 7689474}, {.htm, 3407919}, {.asp, 3011202}, {.shtml, 928397}, {.cgi, 477059}, {.jsp, 438974}, {.cfm, 343380}, {.cls, 305324}, {.do, 238999}, {.pl, 207128}, {.phtml, 187718}, {.xhtml, 143772}, {.jsf, 133419}, {.xml, 125957}, {.action, 88148}, {.kjsp, 60646}, {.pdf, 49370}, {.shtm, 42919}, {.Asp, 41128}, {.c, 33089}, {.node0, 29608}, {.xq, 27850}, {.mperl, 25399}]","888","3296914","4458864","[{com, 98142703}, {ru, 16975201}, {org, 13606280}, {net, 11622791}, {de, 8542311}, {cn, 7171946}, {jp, 7090674}, {fr, 4236845}, {it, 4071514}, {pl, 3785067}, {uk, 3675478}, {cz, 3412247}, {br, 3368467}, {edu, 3231822}, {es, 2584119}, {ca, 2181145}, {vn, 2038537}, {nl, 1969863}, {ua, 1787685}, {info, 1732775}, {hu, 1566881}, {gov, 1419569}, {eu, 1413026}, {tw, 1392291}, {gr, 1342709}]","{rakuten.co.jp=358514, ucsf.edu=197102, bing.com=535450, azurewebsites.net=188507, mit.edu=211175, free.fr=494565, blogspot.com=5804175, wikidot.com=415946, typepad.com=175066, launchpad.net=211805, princetonreview.com=186710, nsw.gov.au=169633, cocolog-nifty.com=307157, altervista.org=207663, banggood.com=245928, fc2.com=178974, foursquare.com=353227, ubc.ca=195520, europa.eu=217267, storeboard.com=417002, gehealthcare.com=167183, spb.ru=342707, exblog.jp=226930, apache.org=184349, seesaa.net=662857}"
"18893854","0.6893447174240499","907385.5230487649","17144009594197","5247623","[7951, 13745, 24914, 47430, 70963, 119111, 304077, 969567, 1957851, 3012476, 4709826, 5153206, 5209431, 5233111]","16.54636552093422","6.790763811343096","6083640965121","5.871563857564206","6067717102937","5.856195104837269","application/pdf","{length=1267302, disconnect=14574, time=1161}","[{.pdf, 15285012}, {.php, 372630}, {.ashx, 173147}, {.aspx, 132861}, {.PDF, 126405}, {.asp, 73074}, {.html, 68946}, {.do, 37117}, {.cfm, 13966}, {.cgi, 11954}, {.py, 6448}, {.htm, 4924}, {.jsp, 4330}, {.nl, 2233}, {.pl, 1464}, {.es, 1172}, {.Pdf, 1019}, {.phtml, 968}, {.11, 826}, {.xml, 759}, {.12, 755}, {.raw, 696}, {.action, 641}, {.seam, 639}, {.data, 585}]","825","1387197","1610405","[{com, 3683896}, {org, 1751708}, {jp, 1123206}, {de, 936189}, {edu, 877523}, {gov, 770028}, {it, 683570}, {ru, 568338}, {net, 534996}, {uk, 519070}, {br, 463065}, {fr, 400761}, {pl, 383956}, {in, 330075}, {ca, 277041}, {cz, 248089}, {es, 245677}, {au, 241201}, {ro, 231303}, {nl, 222743}, {ch, 216567}, {eu, 205242}, {se, 169570}, {id, 158420}, {mx, 144664}]","{nrc.gov=20428, maryland.gov=22409, princeton.edu=417666, jimcontent.com=79376, copernicus.org=27924, gov.mt=21225, wa.gov=44658, escribemeetings.com=28850, cloudfront.net=22652, finalsite.net=89003, amazonaws.com=19467, utah.edu=38606, nsw.gov.au=23946, wsimg.com=40596, ca.gov=50959, tokyo.lg.jp=15511, legistar.com=46432, arxiv.org=30060, windows.net=38561, europa.eu=43034, mhlw.go.jp=19781, goteborg.se=26836, irasia.com=16143, cityofsacramento.org=19374, sec.gov=21565}"
"3567341","0.13015489976794717","24797.34040031497","88460569101","5245860","[590, 624, 690, 774, 856, 956, 1318, 2414, 4898, 9369, 40990, 260439, 580578, 1077538]","0.0853768135448575","0.8536330000412071","43106718880","0.04160400885671834","42947852991","0.04145068106873741","text/plain","{length=29854, disconnect=583, time=15}","[{.txt, 498860}, {.readme, 204429}, {.meta, 163458}, {.php, 103575}, {.asc, 92241}, {.md5, 86876}, {.ris, 52254}, {.sha1, 32745}, {.sig, 29774}, {.po, 28254}, {.ebuild, 25268}, {.pdbqt, 23164}, {.cif, 22065}, {.do, 21205}, {.pdb, 17644}, {.dat, 15961}, {.out, 14583}, {.src, 14240}, {.jsonld, 13702}, {.sha256, 13403}, {.sha512, 10622}, {.nt, 10162}, {.hint, 10117}, {.cgi, 9620}, {.aspx, 9038}]","502","62317","79960","[{org, 913074}, {com, 570108}, {de, 353010}, {gov, 250232}, {edu, 244763}, {net, 128671}, {it, 90854}, {jp, 83394}, {es, 61004}, {ir, 57597}, {pl, 57146}, {uk, 53702}, {cn, 52075}, {ca, 49275}, {ru, 43153}, {cz, 42608}, {fr, 40611}, {br, 36351}, {pt, 33356}, {io, 29670}, {id, 26466}, {fi, 24584}, {nl, 23525}, {ch, 15730}, {se, 14105}]","{eurbodycenter.it=25309, fishhub.it=25576, gentoo.org=33603, putzfirma-dresden.de=24293, noaa.gov=109731, nasa.gov=67733, appspot.com=59114, ufl.edu=42917, perl.org=23378, vapegunstig.de=24452, uckertausch.de=24416, drupal.org=24881, hoya-digital-kongress.de=25639, up.pt=25368, debian.org=81791, metacpan.org=48169, damasfood.de=24339, elektro-sundermann.de=25658, ubuntu.com=44428, cpan.org=29949, slfmde-classic.de=24773, das-steakhaus-el-paso.de=25589, rcsb.org=36191, googlesource.com=43213, iastate.edu=37157}"
"3098706","0.11305669091918505","3681.918488556191","11409182912","3969235","[1138, 1253, 1293, 1311, 1328, 1368, 1521, 2440, 3615, 4886, 7591, 16551, 38958, 66886]","0.0110114562010656","0.007777440002375185","403668782","3.895967964590467E-4","403333431","3.8927313587117064E-4","application/atom+xml","{length=232, disconnect=9}","[{.atom, 74623}, {.xml, 32008}, {.php, 16502}, {.cgi, 778}, {.aspx, 611}, {.html, 318}, {.feed, 224}, {.ashx, 169}, {.rss, 166}, {.rdf, 134}, {.do, 131}, {.egov, 53}, {.asp, 41}, {.1, 30}, {.ttcn, 28}, {.md, 22}, {.pdf, 21}, {.yaml, 20}, {.robot, 14}, {.0, 12}, {.htm, 10}, {.api, 8}, {.ttcn3, 7}, {.eng, 6}, {.yml, 6}]","505","118210","216279","[{com, 2227026}, {net, 118626}, {org, 112503}, {in, 74608}, {br, 63710}, {edu, 43085}, {uk, 36566}, {gr, 24537}, {id, 21180}, {info, 21070}, {fr, 20355}, {de, 20240}, {es, 18856}, {pl, 17047}, {it, 16865}, {ca, 15744}, {ru, 11053}, {xyz, 10202}, {ar, 9507}, {cz, 9471}, {eu, 9380}, {ng, 9094}, {tw, 8614}, {vn, 7855}, {jp, 7579}]","{booklikes.com=2330, readingaddictionvbt.com=2287, gentoo.org=2950, truthinshredding.com=10033, wisc.edu=5848, ncsu.edu=3061, vt.edu=2445, justia.com=7721, blogspot.com=833368, politplatschquatsch.com=3426, dbpedia.org=2537, fanart-central.net=2357, srilankaguardian.org=2391, nuget.org=3274, ning.com=27786, feedburner.com=6965, eku.edu=2274, alberta.ca=3095, omeka.net=6929, mozilla.org=2497, ntu.edu.tw=2280, miamioh.edu=2503, theregister.com=4803, ucf.edu=4262, hautetfort.com=2317}"
"2363927","0.0862481836594102","8343.48477300695","19723388929","3979701","[879, 927, 1021, 1107, 1201, 1360, 2149, 4614, 8250, 13475, 27428, 60214, 96571, 164564]","0.019035827105535814","0.06717635527662233","1568118688","0.0015134537139222307","1564882204","0.0015103300544904966","application/rss+xml","{length=1410, disconnect=178}","[{.rss, 293098}, {.php, 164869}, {.xml, 146833}, {.pl, 94627}, {.aspx, 36061}, {.ashx, 23999}, {.html, 20716}, {.feed, 13534}, {.asp, 6509}, {.bml, 5853}, {.cfm, 4563}, {.rdf, 2427}, {.jsp, 1956}, {.cgi, 1930}, {.smpl, 1901}, {.fcgi, 918}, {.htm, 673}, {.do, 532}, {.md, 478}, {.page, 450}, {.axd, 339}, {.rss2, 284}, {.json, 234}, {.py, 201}, {.txt, 185}]","688","384967","438129","[{com, 831308}, {org, 318397}, {net, 105653}, {edu, 86462}, {de, 81230}, {fr, 67538}, {ru, 67039}, {it, 52526}, {uk, 37053}, {in, 32853}, {cz, 30614}, {jp, 28730}, {ir, 28317}, {br, 25986}, {gov, 25530}, {pl, 25243}, {fm, 25076}, {ca, 19413}, {info, 18141}, {nl, 18027}, {es, 17651}, {pt, 17650}, {ar, 14063}, {eu, 13796}, {mx, 13618}]","{unam.mx=4169, buzzsprout.com=6400, az.gov=9926, wisc.edu=6072, blog.ir=6619, uba.ar=4936, justia.com=6601, sapo.pt=9528, avid.com=6188, bnf.fr=13154, bvsalud.org=5497, amazonaws.com=4058, opera.com=4455, unblog.fr=5870, anchor.fm=18233, us.com=5739, virginia.edu=7539, feedburner.com=15053, iso.org=116393, legistar.com=8205, xunta.gal=9786, omeka.net=6484, metafilter.com=7997, spacehey.com=4852, ucf.edu=8529}"
"1901777","0.06938658087802295","14794.101708559941","28135082365","3979494","[637, 643, 733, 894, 1028, 1294, 2162, 5557, 11836, 18639, 39438, 184256, 283435, 336760]","0.027154286995409567","0.3538269734043476","4621170629","0.004460075569948428","4592584303","0.004432485769773754","application/xml","{length=5643, disconnect=1081, time=5}","[{.xml, 845514}, {.php, 124746}, {.html, 112232}, {.gpx, 54582}, {.pl, 22852}, {.cgi, 9067}, {.nc, 8215}, {.pom, 7030}, {.jnlp, 5854}, {.aspx, 5583}, {.do, 4906}, {.mods, 3588}, {.htm, 3512}, {.asp, 3268}, {.mw, 2891}, {.xsd, 2484}, {.fgdc, 2142}, {.yxmd, 1826}, {.jsp, 1791}, {.mapnik, 1722}, {.txt, 1650}, {.tag, 1620}, {.dc, 1570}, {.xml2, 1482}, {.xsign, 1189}]","667","314412","364057","[{com, 534950}, {org, 221754}, {edu, 176920}, {jp, 101713}, {gov, 89244}, {ru, 83153}, {net, 65750}, {de, 48100}, {cn, 47667}, {es, 41249}, {fr, 34372}, {cz, 32225}, {ir, 31266}, {uk, 26186}, {pl, 22314}, {ca, 20220}, {id, 18942}, {nl, 17748}, {it, 16272}, {cat, 15074}, {au, 14864}, {br, 10932}, {io, 10782}, {eu, 9651}, {in, 9607}]","{umd.edu=23887, nii.ac.jp=54708, gentoo.org=6491, noaa.gov=15268, nasa.gov=13403, grenoble-inp.fr=13341, asu.edu=18967, wisc.edu=5945, aecid.es=9751, hkcsl.com=6553, vocabularyserver.com=8817, sfcollege.edu=8550, xunta.gal=5431, omeka.net=8390, govinfo.gov=9192, usgs.gov=14994, serialzone.cz=14757, loc.gov=9530, wustl.edu=6788, fallschurchva.gov=7144, zbmath.org=12130, ocha.ac.jp=7384, gencat.cat=12424, ucf.edu=11717, openstreetmap.org=46916}"
"999637","0.03647188579374144","2538.576644321889","2537655141","3939460","[803, 850, 909, 978, 1024, 1106, 1316, 1656, 1904, 2174, 2895, 6489, 15518, 36301]","0.0024491919056832847","0.023508533597695964","85580389","8.259703717717522E-5","85293326","8.231998125863772E-5","text/calendar","{length=74, disconnect=161}","[{.ics, 155911}, {.php, 113582}, {.ashx, 7917}, {.html, 5625}, {.aspx, 5161}, {.asp, 2625}, {.cfm, 2344}, {.jsp, 1085}, {.raw, 569}, {.do, 394}, {.ical, 338}, {.sas03, 312}, {.spml, 278}, {.isc, 196}, {.cgi, 113}, {.htm, 108}, {.vcs, 108}, {.egov, 103}, {.axd, 99}, {.cfc, 69}, {.txt, 61}, {.sas02, 54}, {.json, 20}, {.lasso, 18}, {.tmpl, 12}]","413","74262","82730","[{com, 221355}, {org, 190864}, {de, 122773}, {edu, 58329}, {uk, 35776}, {ca, 33593}, {fr, 25966}, {it, 22111}, {ch, 21101}, {net, 20991}, {at, 18273}, {au, 17857}, {nl, 17527}, {nz, 12512}, {cat, 12273}, {us, 9653}, {jp, 8983}, {es, 8902}, {br, 8133}, {gov, 8066}, {be, 7757}, {eu, 7329}, {cz, 7125}, {se, 6568}, {pl, 6224}]","{houstonlibrary.org=1723, fu-berlin.de=1789, wisc.edu=2882, ox.ac.uk=3693, unl.edu=4254, cam.ac.uk=5300, ezfacility.com=2063, mytowngovernment.org=1618, duke.edu=2791, op-shop.nl=3256, ocdsb.ca=2332, msu.edu=2016, uni-due.de=2111, fairfaxcounty.gov=1911, libcal.com=5079, ufrj.br=1560, ufsc.br=3718, manchester.ac.uk=1920, techplay.jp=1566, eventfinda.co.nz=10167, momoyoga.com=2248, indybay.org=1922, ucf.edu=3495, marmara.edu.tr=1827, calagator.org=2186}"
"921162","0.03360871522516119","7472.161661032478","6883071380","3956558","[644, 676, 768, 861, 915, 1069, 1592, 3333, 5360, 7968, 19275, 48189, 98372, 208221]","0.006643125946377864","0.2688994986766714","1565385785","0.0015108160805423147","1564850773","0.0015102997191823045","application/json","{length=2456, disconnect=20, time=1}","[{.json, 334442}, {.php, 24755}, {.covjson, 2902}, {.geojson, 2465}, {.aspx, 1636}, {.map, 375}, {.jsp, 305}, {.ssjs, 294}, {.001, 257}, {.002, 224}, {.003, 213}, {.jsonld, 210}, {.ANS, 192}, {.005, 190}, {.004, 189}, {.006, 176}, {.007, 176}, {.asp, 170}, {.009, 155}, {.008, 148}, {.010, 145}, {.pdf, 145}, {.011, 138}, {.JSON, 137}, {.013, 129}]","454","25978","33376","[{com, 211279}, {org, 146865}, {edu, 78324}, {gov, 50135}, {app, 47055}, {net, 34283}, {uk, 30825}, {me, 28669}, {de, 27759}, {fr, 22253}, {jp, 20719}, {ca, 20628}, {au, 15146}, {se, 11803}, {ru, 11773}, {dev, 11274}, {io, 10677}, {br, 8579}, {es, 8427}, {nz, 6434}, {be, 5818}, {ar, 5618}, {nl, 5332}, {pl, 4712}, {co, 4514}]","{census.gov=30273, umd.edu=6533, archive.org=6374, nasa.gov=8026, diesel.com=16718, pandora.net=10218, cam.ac.uk=10163, ltu.se=8913, crossref.org=30820, geonet.org.nz=5863, joins.com=5558, pitt.edu=8346, huma-num.fr=6439, osv.dev=5225, omeka.net=6889, openalex.org=16993, f-droid.org=9505, run.app=30442, ubc.ca=13091, vercel.app=16267, googlesource.com=42722, glitch.me=27502, intersystems.com=7450, gnu.org=5401, ucf.edu=7472}"
"518253","0.018908528023936576","150692.24387123663","78096707463","5246728","[522, 542, 577, 615, 640, 698, 1024, 4457, 16779, 81863, 656137, 3002850, 4801514, 5230119]","0.07537423848045828","2.777986813390371","49235174159","0.04751882479098827","48935227535","0.04722933437451334","application/octet-stream","{length=14229, disconnect=91, time=77}","[{.rmd160, 42447}, {.dat, 10738}, {.aspx, 9969}, {.php, 9237}, {.filez, 6844}, {.ashx, 4418}, {.000, 3405}, {.dirtree, 2747}, {.nib, 2458}, {.imq, 2340}, {.DAT, 2220}, {.bb, 2089}, {.RSF, 1651}, {.RADX, 1264}, {.b1, 1256}, {.wib, 1250}, {.main, 1174}, {.gpx, 1167}, {.g1, 1167}, {.0, 1094}, {.lock, 971}, {.zsync, 970}, {.f0, 953}, {.diz, 903}, {.cfm, 864}]","295","13565","15780","[{com, 115720}, {org, 85413}, {kr, 69125}, {gov, 56870}, {edu, 32159}, {net, 9598}, {es, 9484}, {it, 9058}, {ru, 8388}, {fr, 8041}, {br, 7738}, {fi, 7734}, {jp, 6944}, {tr, 6885}, {de, 6519}, {ua, 6284}, {cn, 4803}, {cz, 3362}, {cr, 3248}, {tw, 2823}, {se, 2718}, {ir, 2608}, {uk, 2594}, {ar, 2482}, {no, 2333}]","{kaist.ac.kr=33442, hanyang.ac.kr=18981, obspm.fr=3440, snu.ac.kr=4196, noaa.gov=52307, nasa.gov=3441, mit.edu=7426, mpoli.fi=4596, nao.ac.jp=4022, tebyan.net=3536, physionet.org=4885, postech.ac.kr=3265, njit.edu=9428, fcitx-im.org=4235, ugg.com=12289, debian.org=7976, codeforces.com=16524, ucsc.edu=5870, qunar.com=8606, uma.es=5895, ubuntu.com=3614, macports.org=34791, quavergame.com=8090, 1prime.ru=3048, ufrgs.br=3982}"
