"n_pages","content_mime_detected","top_tlds","top_domains"
"4043","application/vnd.openxmlformats-officedocument.presentationml.presentation","[{org, 632}, {com, 621}, {uk, 289}, {edu, 268}, {gov, 221}, {net, 204}, {eu, 185}, {ru, 144}, {nl, 118}, {cz, 116}, {tr, 87}, {br, 82}, {us, 82}, {it, 76}, {jp, 59}, {fr, 49}, {fi, 45}, {au, 40}, {kr, 37}, {ca, 30}, {be, 28}, {es, 28}, {kg, 28}, {gr, 28}, {de, 25}]","{usp.br=44, nisi.kg=28, oceanexpert.org=28, peakentrepreneurs.eu=14, wug.cz=26, ox.ac.uk=21, christianleaders.org=14, copernicus.org=33, archatl.com=24, gss-vet.eu=19, nappo.org=15, nist.gov=16, coventry.gov.uk=60, msc-mu.com=32, engineeringunleashed.com=14, cms.gov=38, metu.edu.tr=27, bom.gov.au=15, nationaalwaterstofprogramma.nl=18, fdic.gov=14, aalto.fi=13, lions.bg=15, ordineinfermieribologna.it=16, sage-fox.com=41, wur.nl=15, europa.eu=20, cuni.cz=30, state.co.us=31, spb.ru=17, upatras.gr=26, open.edu=142, itweek.ru=27, ncperkins.org=27, filles-de-la-charite.org=29, ky.gov=44, mil.be=13, finalsite.net=134, yeram.org=20, louislibraries.org=20, nazarene.org=15, ucla.edu=17, tourismrecovery.eu=57, nc.gov=13, ankara.edu.tr=59, digi-katsu.go.jp=33, goyangcouncil.go.kr=17, oakland.k12.mi.us=25, historicengland.org.uk=79, gewexevents.org=117, thevisualnonglossary.com=219}"
"3974","application/x-mobipocket-ebook","[{org, 2639}, {com, 741}, {pl, 144}, {cz, 75}, {eu, 51}, {ru, 43}, {net, 41}, {edu, 31}, {de, 31}, {uk, 28}, {es, 18}, {br, 14}, {ch, 10}, {nl, 10}, {world, 9}, {gov, 9}, {mx, 8}, {hu, 8}, {se, 7}, {fr, 7}, {jp, 6}, {info, 5}, {no, 5}]","{si.edu=11, islamicmobility.com=8, wuw.pl=7, mobileread.com=15, funag.gov.br=8, muni.cz=7, luminosoa.org=10, friendsoftherainbow.net=12, iformat.pl=46, publie.net=7, amazonaws.com=31, blacklibrary.com=33, mirthfulconfusion.com=8, gutenberg.org=2405, bookelis.com=23, dadabhagwan.org=11, earlymoderntexts.com=17, grace-ebooks.com=15, atman.pl=18, tolstoy.ru=29, nhuttruong.com=8, swp-berlin.org=23, oudesporen.nl=9, poetryintranslation.com=8, patriziopinna.com=10, eusal.es=13, fadedpage.com=68, incorgnitobooks.com=8, storlann.co.uk=20, militaryphs.org=9, developpez.com=160, open.edu=18, forestsangha.org=12, freekidstories.org=17, googleapis.com=62, rebis.com.pl=12, elektronickeknjige.com=20, pwm.com.pl=8, ellenwhiteaudio.org=8, theosophy.world=9, dibuk.eu=43, cisco.com=22, petrakellystiftung.de=8, mlp.cz=42, statiki.pl=8, globalgreyebooks.com=24, cepal.org=19, srubarovi.cz=10, microsoft.com=55, fao.org=28}"
"3899","application/atom+xml","[{com, 2524}, {org, 435}, {uk, 116}, {hu, 91}, {es, 79}, {net, 69}, {id, 41}, {de, 35}, {br, 33}, {fr, 30}, {in, 30}, {edu, 25}, {io, 22}, {jp, 18}, {pl, 17}, {info, 16}, {it, 14}, {ca, 14}, {dev, 14}, {tw, 14}, {cloud, 13}, {ru, 12}, {fi, 12}, {vn, 12}, {eu, 12}]","{maysinffg.com=2, manalor.sch.id=4, rememberthemilk.com=6, lherbentrelespaves.fr=3, defra.gov.uk=12, dolphin-emu.org=3, blogspot.com=1369, openedition.org=2, uni-bielefeld.de=6, ed.ac.uk=5, feedburner.com=147, orphek.com=4, satincrystals.com=3, clubsaxo.es=59, eev.ee=2, joyu.jp=2, ibailakua.org=2, deadanddyingretail.com=2, crimethinc.com=5, fly.io=3, ucf.edu=17, stellenticket.de=5, unc.edu=5, uneatlantico.es=3, dpdk.org=219, jinbo.net=7, gentoo.org=7, herve-godquin.fr=4, ukdw.ac.id=3, wikinews.org=3, futuredar.company=3, papers.cool=6, economie.gouv.fr=7, lincoln.ac.uk=63, anamotatawe3.com=2, github.io=13, ning.com=89, nottingham.ac.uk=11, afw.com=2, billoreilly.com=5, leguevaques.com=6, paizo.com=13, altlinux.org=79, kantrikinkerit.fi=6, oilfund.az=3, malkar.info=2, memursite.com=6, drlaura.com=5, calagator.org=8, cyfrowaetnografia.pl=6}"
"3462","text/csv","[{gov, 1064}, {com, 468}, {uk, 377}, {org, 202}, {ru, 180}, {nl, 158}, {it, 143}, {net, 114}, {mx, 83}, {jp, 67}, {edu, 57}, {fr, 51}, {dev, 50}, {tw, 46}, {au, 43}, {th, 39}, {sk, 27}, {de, 23}, {pe, 21}, {dk, 21}, {es, 18}, {eu, 18}, {za, 16}, {info, 15}, {nz, 15}]","{ishares.com=16, louvre.fr=13, craneware.com=9, csiro.au=20, iea.org=10, ine.mx=9, comune.livorno.it=110, e-stat.go.jp=61, illyvoip.com=13, iwm.org.uk=248, ca.gov=48, bratislava.sk=9, commondatafactory.nl=153, imss.gob.mx=67, biodiversitylibrary.org=19, europa.eu=14, trnava-vuc.sk=6, blackrock.com=33, datosabiertos.gob.pe=21, illinois.gov=28, norges-bank.no=7, kalideos.fr=10, ndis.gov.au=15, greatlakesomics.org=7, phhealthcare.org=7, caa.co.uk=6, unisalento.it=6, dbd.go.th=35, arcgis.com=22, sun.ac.za=16, figure.nz=9, azurewebsites.net=91, r-universe.dev=50, cboe.com=292, tamu.edu=42, dataforsyningen.dk=12, opendevelopmentmekong.net=7, etana.org=18, data.gov.lv=11, lacimade.org=17, aragon.es=8, nsd.ru=178, ons.gov.uk=82, trade.gov.uk=18, cancer.gov=951, goodjobsfirst.org=46, hsinchu.gov.tw=36, gov.hu=12, lkf.ee=10, tuxcare.com=30}"
"3228","application/x-executable","[{com, 610}, {org, 501}, {dev, 323}, {edu, 313}, {io, 293}, {net, 144}, {nl, 116}, {jp, 106}, {de, 70}, {cz, 62}, {fr, 58}, {host, 54}, {ru, 51}, {build, 45}, {rocks, 34}, {ca, 34}, {coop, 29}, {ch, 27}, {th, 24}, {lol, 23}, {cn, 23}, {tw, 21}, {app, 20}, {se, 17}, {eu, 14}]","{mirrorservice.org=25, sohu.com=13, helenos.org=17, bazel.build=45, mit.edu=31, columbia.edu=101, dotsrc.org=12, robur.coop=29, koreader.rocks=34, vividcortex.com=30, freebsd.org=116, solnet.ch=14, toronto.edu=147, sensor.community=12, kyoto-u.ac.jp=69, heptapod.net=62, xnview.com=17, nebulant.app=12, naist.jp=18, nluug.nl=106, wakdev.com=24, feed-the-beast.com=16, ledger.com=64, gnu.org=22, werf.io=24, gentoo.org=30, cn2qq.com=64, princeton.edu=17, k8s.io=209, radzen.com=82, nationsglory.fr=29, debian.org=49, happybeing.com=12, umu.se=14, halclark.ca=18, portablelinuxgames.org=25, netbsd.org=13, yandex.ru=31, ku.ac.th=24, ktalk.host=54, karneval.cz=49, ubuntu.com=24, installbuilder.com=22, cribl.io=32, cern.ch=12, vim.org=27, openwrt.org=16, restic.net=22, nickchan.lol=23, ajam.dev=305}"
"2845","text/x-log","[{net, 1545}, {org, 847}, {com, 190}, {fr, 49}, {at, 22}, {cn, 19}, {de, 18}, {edu, 17}, {id, 16}, {tr, 11}, {dev, 9}, {top, 9}, {xyz, 8}, {ru, 7}, {eu, 7}, {se, 6}, {io, 6}, {gov, 6}, {it, 5}, {jp, 5}]","{kernelci.org=20, helenos.org=27, alpinelinux.org=79, mariadb.org=8, rdoproject.org=329, nodejs.org=34, openindiana.org=7, ibweb.it=5, africamuseum.be=3, debian.net=1492, jussieu.fr=47, eltagr.top=9, fedoraproject.org=5, opnsense.org=5, fnal.gov=5, pens.ac.id=16, felixc.at=22, la9.jp=4, macports.org=14, alhp.dev=5, facebook.net=26, subdivi.de=12, nrao.edu=13, mageia.org=7, lers.ru=5, pardus.org.tr=11, only9fans.com=59, centos.org=35, redhat.com=8, githubusercontent.com=41, shipilev.net=14, m45sci.xyz=8, filedn.eu=6, debian.org=68, openmrs.org=4, ruarxive.org=8, netbsd.org=77, bsdfrog.org=20, opendev.org=28, dragonflybsd.org=16, intel.com=3, iscas.ac.cn=17, paulsajna.com=11, sankt-englmar.de=3, coreelec.org=3, tritondatacenter.com=8, rdidiamonds.com=5, neuroconductor.org=5, unavco.org=3, bru.st=3}"
"2716","application/vnd.openxmlformats-officedocument.wordprocessingml.document","[{com, 256}, {org, 239}, {ru, 198}, {uk, 185}, {cz, 151}, {edu, 94}, {net, 94}, {au, 85}, {be, 70}, {de, 70}, {tw, 62}, {pl, 59}, {br, 57}, {lt, 51}, {gov, 49}, {id, 48}, {eu, 48}, {it, 47}, {nl, 47}, {ua, 44}, {co, 43}, {cn, 41}, {ch, 39}, {us, 38}, {es, 31}]","{mathemateg.com=9, codes04.org=12, zj.gov.cn=19, msk.cz=19, winningtonpark.cheshire.sch.uk=15, neri-shakyo.com=10, e-tar.lt=36, stpaulscanton.org=26, tatar.ru=12, metu.edu.tr=15, firsttuesday.us=12, goo.kz=19, acoi.it=14, vladimiryakuba.ru=20, windows.net=14, helmholtz-munich.de=11, nrw.de=17, xn----7sbwjfcr8bzb0b.xn--p1ai=13, enseignons.be=26, ambientebogota.gov.co=17, szh.ch=18, state.co.us=15, spb.ru=17, soh14-pomeshik.ru=11, unal.edu.co=15, ndis.gov.au=26, illinois.edu=10, egi.eu=16, mwkz.pl=11, sutech.ac.ir=11, uralschool.ru=12, open.edu=28, funduszemalopolska.pl=14, googleapis.com=28, mass.gov=14, nhs.wales=13, taconline.it=12, ndc.gov.tw=12, volgsovet.ru=24, mil.be=16, finalsite.net=50, worktribe.com=10, mlc.edu.tw=21, kpi.ua=10, lntu.edu.ua=14, officetemplates.org=15, umaine.edu=9, ecml.at=14, utm.edu.ec=11, legislation.gov.au=10}"
"2440","application/x-arj","[{ua, 2435}]","{pslib.cz=4, tungsten.run=1, nau.kiev.ua=2435}"
"2415","application/msword","[{ru, 293}, {cz, 231}, {uk, 167}, {org, 149}, {tw, 124}, {co, 120}, {com, 120}, {si, 108}, {be, 85}, {pl, 75}, {ua, 64}, {cn, 64}, {eu, 52}, {br, 50}, {gov, 49}, {edu, 42}, {de, 35}, {hu, 33}, {it, 32}, {au, 32}, {net, 29}, {lt, 29}, {ro, 29}, {es, 27}, {cl, 27}]","{zj.gov.cn=22, mesto-dubi.cz=26, msk.cz=8, kr.gov.ua=10, siteapi.org=8, texas.gov=9, oas.org=44, doe.gov.za=8, almaaref.org.lb=9, mruni.eu=35, camara.cl=25, nat.gov.tw=87, nrw.de=15, elaba.lt=26, enseignons.be=47, ambientebogota.gov.co=95, gov.ru=9, spb.ru=9, klasterecnadorlici.cz=37, rshb.ru=17, 1prime.ru=34, rossetisk.ru=14, contraloriasai.gov.co=10, open.edu=15, mass.gov=20, googleapis.com=15, petrtolmachev.ru=9, st-julie.st-helens.sch.uk=123, volgsovet.ru=20, mil.be=26, admomsk.ru=12, maribor.si=108, finalsite.net=9, gur.gov.ua=10, komi.com=11, aladm.ru=12, zskrtiny.cz=30, knmu.edu.ua=15, senovunovehojicina.cz=8, lntu.edu.ua=9, unillanos.edu.co=8, ens-lyon.fr=14, one.be=9, novosedly.cz=14, scj.ro=9, laranjeirasdosul.pr.gov.br=11, rsc.org=12, ujep.cz=9, legislation.gov.au=15, borovskold.ru=9}"
"2094","application/x-idl-save-file","[{fr, 1967}, {gov, 116}, {jp, 9}]","{nasa.gov=116, obspm.fr=1967, cas.cz=1, aber.ac.uk=1, nies.go.jp=9}"
